Tanggal,pH air,salinitas air,suhu air
3/19/2024,2.64,18.88,28.80
3/20/2024,2.32,18.60,29.10
3/21/2024,2.43,18.99,30.00
3/22/2024,1.88,18.97,29.20
3/23/2024,1.97,18.95,29.00
3/24/2024,1.62,18.71,30.00
3/25/2024,1.44,18.76,29.80
3/26/2024,1.40,18.90,29.90
3/27/2024,1.39,18.90,29.90
3/28/2024,1.37,18.95,29.90
3/29/2024,1.25,19.09,29.60
3/30/2024,0.92,19.30,30.30
3/31/2024,0.85,19.30,30.20
4/1/2024,1.97,17.08,30.00
4/2/2024,1.61,17.15,29.40
4/3/2024,1.65,17.08,29.20
4/4/2024,1.95,17.08,29.30
4/5/2024,2.17,17.17,29.40
4/6/2024,1.53,17.15,29.30
4/7/2024,1.59,17.15,29.20
4/8/2024,1.64,17.31,28.80
4/9/2024,1.41,17.29,28.60
4/10/2024,1.33,17.20,28.30
4/11/2024,1.24,17.27,28.40
4/12/2024,1.38,17.36,28.70
4/13/2024,1.38,17.45,28.90
4/14/2024,1.27,17.43,28.80
4/15/2024,1.30,17.41,28.80
4/16/2024,1.42,17.45,28.90
4/17/2024,1.37,17.50,28.90
4/18/2024,1.32,17.48,28.90
4/19/2024,1.38,17.43,28.80
4/20/2024,1.47,17.24,29.20
4/21/2024,1.48,17.29,29.40
4/22/2024,1.39,17.29,29.30
4/23/2024,1.91,17.24,29.20
4/24/2024,1.42,17.31,29.40
4/25/2024,1.45,17.45,29.50
4/26/2024,0.54,16.61,29.20
4/27/2024,0.35,16.57,29.10
4/28/2024,0.15,16.57,29.10
4/29/2024,0.00,16.57,29.00
4/30/2024,0.02,16.82,28.70
31/04/2024,1.53,16.78,28.60
5/1/2024,0.65,18.88,28.70
5/2/2024,0.63,18.90,28.80
5/3/2024,0.97,18.90,28.70
5/4/2024,0.97,18.90,28.70
5/5/2024,0.97,18.90,28.70
5/6/2024,0.97,18.90,28.70
5/7/2024,1.28,18.83,28.30
5/8/2024,1.28,18.81,28.20
5/9/2024,1.32,18.81,28.20
5/10/2024,1.32,18.81,28.20
5/11/2024,1.56,18.62,28.30
5/12/2024,2.34,18.57,28.20
5/13/2024,1.70,18.76,28.60
5/14/2024,1.66,18.90,29.00
5/15/2024,1.52,18.88,28.90
